"X-Accelerate(m^2/s)","Y-Accelerate(m^2/s)","Z-Accelerate(m^2/s)"
0.018000,-0.020000,2.399312
0.018000,-0.020000,2.399312
0.018000,-0.020000,2.399312
0.018000,-0.020000,2.399312
0.018000,-0.020000,2.399312
-0.214000,-0.092000,1.968602
-0.214000,-0.092000,1.968602
-0.214000,-0.092000,1.968602
-0.214000,-0.092000,1.968602
-0.214000,-0.092000,1.968602
0.084000,-0.008000,2.894480
0.084000,-0.008000,2.894480
0.084000,-0.008000,2.894480
0.084000,-0.008000,2.894480
0.084000,-0.008000,2.894480
0.036000,-0.142000,1.878090
0.036000,-0.142000,1.878090
0.036000,-0.142000,1.878090
0.036000,-0.142000,1.878090
0.036000,-0.142000,1.878090
-0.038000,-0.020000,1.850062
-0.038000,-0.020000,1.850062
-0.038000,-0.020000,1.850062
-0.038000,-0.020000,1.850062
-0.038000,-0.020000,1.850062
0.046000,0.192000,1.644370
0.046000,0.192000,1.644370
0.046000,0.192000,1.644370
0.046000,0.192000,1.644370
0.046000,0.192000,1.644370
0.196000,0.064000,2.143842
0.196000,0.064000,2.143842
0.196000,0.064000,2.143842
0.196000,0.064000,2.143842
0.196000,0.064000,2.143842
0.030000,0.088000,2.486564
0.030000,0.088000,2.486564
0.030000,0.088000,2.486564
0.030000,0.088000,2.486564
0.030000,0.088000,2.486564
-0.114000,-0.020000,2.095982
-0.114000,-0.020000,2.095982
-0.114000,-0.020000,2.095982
-0.114000,-0.020000,2.095982
-0.114000,-0.020000,2.095982
0.016000,0.068000,2.664845
0.016000,0.068000,2.664845
0.016000,0.068000,2.664845
0.016000,0.068000,2.664845
0.016000,0.068000,2.664845
0.186000,-0.004000,2.233752
0.186000,-0.004000,2.233752
0.186000,-0.004000,2.233752
0.186000,-0.004000,2.233752
0.186000,-0.004000,2.233752
0.092000,0.202000,1.731966
0.092000,0.202000,1.731966
0.092000,0.202000,1.731966
0.092000,0.202000,1.731966
0.092000,0.202000,1.731966
0.044000,0.184000,2.385942
0.044000,0.184000,2.385942
0.044000,0.184000,2.385942
0.044000,0.184000,2.385942
0.044000,0.184000,2.385942
0.030000,-0.190000,1.753644
0.030000,-0.190000,1.753644
0.030000,-0.190000,1.753644
0.030000,-0.190000,1.753644
0.030000,-0.190000,1.753644
0.002000,-0.190000,1.871455
0.002000,-0.190000,1.871455
0.002000,-0.190000,1.871455
0.002000,-0.190000,1.871455
0.002000,-0.190000,1.871455
-0.050000,-0.106000,1.918819
-0.050000,-0.106000,1.918819
-0.050000,-0.106000,1.918819
-0.050000,-0.106000,1.918819
-0.050000,-0.106000,1.918819
-0.028000,-0.158000,2.768466
-0.028000,-0.158000,2.768466
-0.028000,-0.158000,2.768466
-0.028000,-0.158000,2.768466
-0.028000,-0.158000,2.768466
0.124000,0.212000,1.776235
0.124000,0.212000,1.776235
0.124000,0.212000,1.776235
0.124000,0.212000,1.776235
0.124000,0.212000,1.776235
0.040000,-0.182000,1.306435
0.040000,-0.182000,1.306435
0.040000,-0.182000,1.306435
0.040000,-0.182000,1.306435
0.040000,-0.182000,1.306435
-0.138000,0.136000,1.771649
-0.138000,0.136000,1.771649
-0.138000,0.136000,1.771649
-0.138000,0.136000,1.771649
-0.138000,0.136000,1.771649
0.182000,-0.136000,2.031981
0.182000,-0.136000,2.031981
0.182000,-0.136000,2.031981
0.182000,-0.136000,2.031981
0.182000,-0.136000,2.031981
0.096000,0.058000,3.411472
0.096000,0.058000,3.411472
0.096000,0.058000,3.411472
0.096000,0.058000,3.411472
0.096000,0.058000,3.411472
0.102000,-0.140000,2.426091
0.102000,-0.140000,2.426091
0.102000,-0.140000,2.426091
0.102000,-0.140000,2.426091
0.102000,-0.140000,2.426091
0.042000,0.038000,2.349222
0.042000,0.038000,2.349222
0.042000,0.038000,2.349222
0.042000,0.038000,2.349222
0.042000,0.038000,2.349222
0.042000,0.018000,3.058317
0.042000,0.018000,3.058317
