"X-Accelerate(m^2/s)","Y-Accelerate(m^2/s)","Z-Accelerate(m^2/s)"
0.420000,-0.150000,2.784511
0.280000,0.170000,2.023660
0.030000,-0.430000,0.880114
-0.350000,0.220000,3.112668
-0.290000,0.090000,3.195606
0.370000,-0.460000,2.726830
-0.490000,0.250000,1.088944
-0.460000,-0.060000,3.115654
-0.130000,-0.020000,0.880227
-0.360000,-0.170000,2.031354
0.060000,0.250000,3.981708
-0.480000,-0.500000,0.492037
0.390000,0.430000,3.846440
0.250000,0.040000,3.049508
0.200000,-0.260000,3.102708
-0.140000,-0.340000,1.015480
0.410000,-0.250000,3.204216
0.040000,-0.110000,2.417168
-0.150000,0.020000,2.124618
0.020000,-0.030000,0.628967
-0.260000,0.250000,0.441362
0.020000,0.160000,0.783582
0.320000,-0.180000,3.259386
-0.140000,0.160000,1.434329
-0.130000,-0.490000,3.331651
0.220000,0.410000,0.329242
-0.170000,0.470000,0.819634
0.010000,-0.050000,1.108828
0.390000,-0.230000,2.550118
-0.220000,0.360000,3.414030
0.110000,0.260000,2.624862
0.280000,-0.230000,2.867194
0.050000,0.220000,3.222111
0.280000,0.310000,0.372961
0.260000,-0.240000,1.632085
-0.280000,-0.110000,2.320582
0.430000,-0.210000,3.184242
0.110000,0.240000,0.828975
-0.420000,0.140000,2.926705
0.310000,0.380000,3.172318
0.170000,0.280000,2.357350
0.400000,-0.270000,1.356724
-0.490000,-0.300000,1.418027
-0.390000,0.200000,1.797331
-0.260000,-0.010000,3.550479
0.350000,0.260000,3.230712
-0.310000,0.410000,2.180229
0.270000,-0.060000,3.147872
-0.170000,-0.140000,3.392860
-0.060000,-0.130000,1.372552
0.310000,-0.040000,1.158577
-0.360000,0.290000,3.105785
0.270000,0.220000,1.827102
0.320000,-0.370000,1.460240
0.390000,-0.120000,3.617057
0.140000,0.460000,2.126311
-0.360000,0.280000,2.742335
-0.040000,-0.280000,0.812158
0.370000,0.250000,1.980278
0.350000,0.300000,0.998749
-0.220000,-0.310000,2.217656
0.340000,0.350000,1.354806
0.500000,0.410000,2.631729
-0.240000,0.470000,2.749818
-0.160000,-0.000000,2.975702
-0.040000,-0.130000,2.446222
0.190000,-0.330000,2.268259
0.450000,-0.440000,1.103087
-0.390000,0.020000,2.317326
-0.060000,-0.070000,0.633325
0.230000,0.030000,3.362008
-0.230000,-0.480000,1.719506
-0.380000,-0.400000,1.671287
0.350000,0.160000,2.155922
0.040000,-0.260000,0.448553
-0.160000,-0.230000,0.597578
-0.170000,0.300000,3.894766
0.020000,-0.150000,1.442082
0.100000,-0.350000,2.756066
-0.040000,-0.100000,0.903604
0.250000,-0.210000,3.926449
-0.040000,0.160000,2.043355
0.290000,-0.460000,3.801302
-0.300000,0.170000,0.809630
-0.340000,-0.450000,3.261595
-0.090000,0.200000,2.229238
0.050000,0.410000,2.445363
0.480000,0.290000,0.598247
0.030000,0.090000,0.632930
0.150000,0.070000,2.975399
0.420000,-0.010000,1.408687
0.000000,0.050000,0.768375
-0.190000,-0.120000,2.439672
0.340000,-0.340000,0.535910
-0.370000,-0.490000,1.379529
0.160000,0.110000,2.572683
0.080000,0.340000,0.958332
-0.490000,-0.310000,1.480507
-0.020000,0.060000,2.589228
-0.420000,0.480000,1.257498
0.360000,-0.380000,1.836872
0.230000,-0.020000,1.583256
0.360000,-0.260000,0.501697
0.240000,-0.180000,3.547337
-0.280000,0.160000,2.690743
-0.330000,-0.180000,3.379157
0.240000,-0.440000,3.968476
0.100000,0.430000,3.361131
0.060000,0.380000,2.763349
0.410000,0.100000,3.585248
-0.040000,0.330000,2.598827
-0.130000,0.010000,3.797762
0.200000,-0.480000,3.116922
0.340000,-0.280000,1.848242
0.140000,-0.280000,0.768700
0.460000,0.130000,2.280439
-0.180000,0.320000,3.017748
-0.180000,-0.200000,3.690203
0.370000,-0.300000,0.667458
-0.260000,0.240000,2.090263
0.010000,-0.280000,3.579050
-0.010000,0.400000,3.487119
-0.290000,0.030000,2.764670
0.420000,-0.230000,1.495192
0.080000,0.170000,3.965552
0.280000,0.070000,1.359706
0.240000,-0.080000,0.769480
-0.160000,0.340000,0.872525
0.320000,-0.460000,1.657860
-0.220000,-0.050000,3.362440
0.460000,0.340000,0.720555
-0.070000,-0.120000,2.886659
0.290000,0.420000,1.217333
0.000000,0.110000,3.378210
0.020000,-0.270000,3.118269
0.280000,0.320000,3.605010
0.330000,0.010000,3.052196
0.180000,-0.200000,2.656407
0.260000,-0.360000,1.557947
-0.290000,-0.250000,3.025872
0.080000,0.140000,1.168931
-0.000000,0.460000,3.973462
-0.160000,-0.270000,1.384883
-0.340000,-0.070000,3.301803
0.180000,0.420000,1.217046
-0.070000,0.310000,2.429300
0.150000,-0.280000,3.877009
0.440000,0.260000,1.463318
-0.490000,-0.010000,2.216461
0.240000,-0.070000,2.849052
0.500000,-0.460000,3.850519
0.240000,-0.120000,0.848587
0.040000,-0.390000,3.920446
0.340000,0.130000,3.541342
0.390000,0.120000,0.711266
-0.340000,-0.320000,2.057693
-0.200000,-0.500000,1.072381
-0.090000,-0.460000,2.139252
-0.420000,0.420000,3.124036
-0.260000,-0.280000,3.197249
0.490000,0.320000,2.440820
-0.080000,0.340000,2.111303
0.090000,-0.050000,1.275853
-0.290000,-0.360000,3.237159
-0.130000,0.130000,2.322735
-0.350000,0.220000,1.379384
-0.020000,-0.180000,3.745624
-0.180000,0.170000,2.688624
0.310000,-0.110000,1.340224
-0.190000,-0.120000,2.077884
-0.210000,-0.110000,3.982951
0.370000,0.480000,0.069282
0.170000,-0.040000,2.142895
-0.150000,0.430000,2.009030
-0.050000,0.190000,3.624679
0.160000,-0.020000,3.546336
0.260000,0.210000,1.799222
0.070000,-0.410000,3.917984
0.030000,-0.500000,3.281996
-0.170000,-0.440000,2.820833
0.470000,0.310000,1.939948
-0.320000,-0.190000,2.219009
-0.390000,0.150000,0.326037
0.120000,0.200000,3.482198
0.010000,0.170000,2.985147
-0.040000,0.470000,3.669809
-0.080000,0.080000,1.896629
-0.020000,0.410000,3.163479
-0.090000,-0.230000,2.357096
0.050000,-0.040000,2.479173
0.300000,-0.090000,1.640366
0.140000,0.290000,1.679405
0.340000,0.310000,1.279805
-0.410000,0.210000,0.262107
0.480000,-0.380000,3.567856
-0.270000,0.290000,0.694982
-0.360000,0.070000,0.354401
-0.350000,-0.460000,0.318591
-0.490000,-0.200000,3.297802
-0.490000,-0.280000,0.897274
0.170000,-0.060000,2.934468
0.170000,-0.410000,0.884929
0.450000,0.490000,2.503098
-0.490000,0.020000,2.420826
0.500000,0.390000,1.414355
-0.050000,0.180000,0.808703
-0.140000,0.020000,3.687289
0.260000,0.110000,2.353126
0.140000,0.470000,0.766551
-0.400000,0.250000,2.790412
0.430000,0.200000,1.808867
0.120000,0.200000,3.442107
0.340000,0.020000,3.935289
-0.020000,-0.330000,0.426966
0.080000,0.070000,3.508390
0.000000,0.240000,2.066107
-0.150000,0.080000,0.730479
-0.020000,-0.370000,1.975551
-0.160000,0.250000,2.673574
0.060000,-0.190000,3.033463
0.320000,-0.070000,1.227029
0.270000,-0.330000,2.696498
-0.080000,0.330000,1.849081
-0.440000,0.490000,2.255837
0.500000,0.010000,0.313050
-0.490000,-0.500000,3.836652
-0.130000,0.210000,3.200484
0.000000,0.350000,0.583009
-0.430000,0.360000,2.743264
-0.190000,0.040000,1.739195
-0.100000,0.460000,3.448014
0.360000,-0.360000,1.163486
-0.490000,0.150000,2.160046
-0.370000,0.280000,0.805978
-0.480000,0.320000,1.841765
-0.310000,0.340000,1.605366
0.400000,0.210000,3.632010
0.470000,0.290000,3.080893
-0.430000,0.170000,3.418874
-0.130000,0.060000,2.656144
0.490000,0.200000,2.555778
0.180000,-0.360000,0.793788
0.240000,-0.110000,2.566457
0.090000,0.200000,1.342200
-0.410000,0.470000,1.752313
0.170000,-0.270000,3.194104
0.490000,0.450000,1.299615
0.230000,-0.470000,0.537308
-0.340000,-0.460000,3.199266
0.300000,0.110000,0.656354
0.050000,-0.160000,0.555248
0.260000,0.420000,0.616523
-0.080000,0.150000,2.383946
0.260000,0.240000,3.099871
-0.250000,0.400000,2.749836
0.500000,-0.050000,0.967264
0.460000,0.340000,1.354142
0.060000,0.410000,3.887981
-0.480000,-0.210000,3.561671
0.000000,0.480000,2.981610
-0.380000,-0.150000,3.395512
-0.410000,0.390000,1.740316
-0.180000,-0.320000,2.118419
-0.400000,0.330000,3.572562
-0.110000,-0.440000,2.590598
0.030000,-0.000000,3.269862
-0.190000,0.250000,0.511273
0.140000,-0.230000,3.469568
-0.380000,0.370000,2.443092
0.180000,0.070000,1.376517
-0.500000,-0.470000,1.412091
0.240000,0.490000,0.885381
-0.310000,0.150000,3.392565
0.050000,-0.220000,1.259960
0.260000,0.030000,1.099272
